Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Per_hour,Salary,Min_salary,Max_salary,Average_salary,Job_State,Company_age,Python_yn,AI_yn,ML_yn,Statistic_yn,Simplified_title,Seniority,desc_len
Staff Data Scientist,$101K - $161K (Glassdoor est.),"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.",3.6,"Alteryx, Inc.","Boston, MA",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,101 - 161 ,101,161,131.0, MA,24,0,0,0,0,data scientist,not_specified,1243
Staff Data Scientist,$72K - $121K (Glassdoor est.),"WHO WE ARE:
Voted one of the Top 100 Fastest Growing Companies in the Bay Area for 2020, Freedom Financial Network is a family of companies that takes a people-first approach to financial services, using technology to empower consumers to overcome debt and create a brighter financial future. The company was founded in 2002 by Brad Stroh and Andrew Housser on the belief that by staying committed to helping people, you can ensure better financial outcomes for both the customer and the business. This Heart/$ philosophy still guides the vision of our growing company, which has helped millions of people find solutions for their financial needs.
What began with 2 people in a spare bedroom has now rapidly expanded to a vibrant business that employs over 2000 employees (known internally as The Freedom Family) in two locations: San Mateo, CA and Tempe, AZ. When you visit either of our offices, you’ll understand why our employees have voted us the Best Place to Work for the last several years. It’s a place where the Heart/$ philosophy continues to thrive, where we believe that success is only achieved by doing what’s right for our customers, our employees, and our communities.
Some of the key responsibilities for the Analytic Scientist will include:",3.5,Freedom Financial Network,"Tempe, AZ",1001 to 5000 Employees,2002,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),0,72 - 121 ,72,121,96.5, AZ,19,0,0,0,0,data scientist,not_specified,1259
Statistician or Data Scientist,$65K - $105K (Glassdoor est.),"Statistician
Full-time, Benefits available
Employer: Nature Source Improved Plants, LLC. (http://nsiplants.com/)
Location: Ithaca, NY
The NSIP Genetics Division (Ithaca, NY) is recruiting for a Ph.D-level Statistician or Data Scientist. This position will work closely with NSIP’s cross-functional team of statisticians, mathematicians, operations research engineers, computer scientists, geneticists, plant breeders, and software engineers to help implement computational and genomics-based plant breeding solutions. The successful candidate will be responsible for contributing to NSIP’s inferential and predictive breeding framework, and to the solution of cutting-edge problems relevant to breeding and propagation. This position will have the opportunity to work with a diverse group of scientists dedicated to developing and implementing plant breeding and production technologies across agricultural sectors.",-1.0,Nature Source Improved Plants,"Ithaca, NY",-1,-1,-1,-1,-1,-1,0,65 - 105 ,65,105,85.0, NY,-1,0,1,0,1,data scientist,not_specified,915
Bioprocessing Scientist I,$37K - $82K (Glassdoor est.),"Bioprocessing Scientist I
Bioprocessing Scientist I
LGC’s Clinical Diagnostics Division develops and manufactures a comprehensive portfolio of catalog and custom-developed diagnostic quality solutions and component materials for the extended life sciences industry. We partner with IVD assay developers, and pharmaceutical, CRO and academic institutions in commercialization activities across the entire diagnostic pipeline - from concept and early stage research, through expedited product development and onwards into routine clinical use. Laboratorians and diagnostic professionals across disciplines of clinical chemistry, immunochemistry, serology, molecular diagnostics and clinical genomics rely on LGC’s products to support accurate and reliable diagnostic results.
Our operating entities include SeraCare Life Sciences and Maine Standards Company, which are in vitro diagnostics (IVD) manufacturers of quality measurement tools (calibrators, controls, linearity, EQA/PT, biological materials) and the Native Antigen Company, which is a manufacturer and supplier of viral antigens. Our 300+ employees operate FDA-registered and ISO 13485-accredited facilities in Maine, Massachusetts and Maryland, USA, and an ISO 9001-accredited facility in Oxford, UK.",2.7,SeraCare Life Sciences,"Cumberland Foreside, ME",51 to 200 Employees,1989,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),0,37 - 82 ,37,82,59.5, ME,32,0,1,0,0,not_specified,not_specified,1261
Data Visualization Scientist,$79K - $136K (Glassdoor est.),"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?Do you value working in a creative and collaborative environment?If so, we are looking for someone like you to join our team!The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to: Represent data and help our U.S. government partners easily understand their data.
Uncover trends, changes, patterns, and anomalies in voluminous data sets.
Embed in reports and presentations that are used to clearly communicate our data stories and analytic results.
We are seeking data scientists who can apply data visualization standards, research new data visualization approaches, and employ various data visualization technologies and techniques. Your contributions to our team of data scientists, engineers, mathematicians, and computer scientists will help transform data into the knowledge that will enable decision-makers to make informed choices in defense of the nation. You will join a hardworking team in an inclusive environment that values intellectual curiosity, innovation and creativity.As a Data Visualization Scientist you will...


Why work at APL?The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",4.7,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),0,79 - 136 ,79,136,107.5, MD,79,0,0,0,0,not_specified,not_specified,2386
Senior Data Scientist,$94K - $150K (Glassdoor est.),"Here at ShipStation, part of Auctane, we're passionate about helping online businesses become more productive. We save thousands of merchants hours every day by automating the fulfillment side of their business. We partner with top eCommerce and shipping companies to make a previously complicated and labor-intensive process simple and enjoyable.

As a Senior Data Scientist, you will solve challenging logistics and optimization problems to make our customers more successful. You will analyze large amounts of data from a variety of sources, discover and solve real world problems, and develop metrics and business cases that will enable us to continually delight ShipStation customers. The ideal candidate will be a self-starter, highly analytical, and intensely detailed with a strong customer focus.

Responsibilities:
:


If you are based in California, we encourage you to read this important information about the for California residents linked here.

#LI-JF1",3.7,Stamps.com,"Austin, TX",1001 to 5000 Employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),0,94 - 150 ,94,150,122.0, TX,25,0,1,0,0,data scientist,senior,969
Senior Data Scientist,$94K - $150K (Glassdoor est.),"Job Posting End Date: April 20
Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace.
Headquartered in Chattanooga, Tennessee, Unum also has significant US operations in Portland, Maine, - and over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US.
General Summary
This position for an experienced data scientist who is excited to transform data into actionable insights and solutions, and drive the business forward. The role requires significant technical expertise including programming, statistical proficiency and advanced data manipulation skills. This individual will continuously increase business knowledge with a consultant mindset approach and focus on identifying opportunities to improve our business outcomes. This individual will take initiative in designing and implementing data science solutions for supporting business priorities. Considerable reliance will be placed on the individual’s judgment and ability to interact with business partners with a high degree of professionalism. This person will work directly with Actuaries in the areas of pricing, reserving and risk.

Unum",3.8,Unum,"Portland, ME",5001 to 10000 Employees,1848,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,94 - 150 ,94,150,122.0, ME,173,0,1,0,1,data scientist,senior,1767
Research Scientist,$94K - $150K (Glassdoor est.),"Job Description:
Our Reston office is seeking talented candidates to develop mathematical models and algorithms, develop and demonstrate prototype software, and participate in operational analysis related to their technical work. Our Reston office employs mathematicians, physicists and computer scientists. We routinely apply stochastic processes, statistical inference, optimization and scheduling, models of random graphs and applied physics to develop the underlying theory and applications for our clients. The successful candidate will interact with customers, gather requirements and data, write and present briefings, and contribute to the development of Metron tools.

Projects typically involve developing advanced algorithms implemented in a computer prototype system for our research & development customers. We work in small teams, led by Senior Scientists, who work closely with new employees. Project teams work together from the initial system concept, through software and algorithm design, to implementation and demonstration.
Desired Qualifications:",3.4,"Metron, Inc.","Reston, VA",201 to 500 Employees,1982,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),0,94 - 150 ,94,150,122.0, VA,39,0,0,0,1,not_specified,not_specified,1068
Data Scientist Principal,$94K - $150K (Glassdoor est.),"About JLG, an Oshkosh company
JLG began in 1969, when our founder, John L. Grove set out to resolve growing safety concerns in the construction industry. Since then we have been committed to understanding the challenges and delivering innovative solutions to the access market. We partner with customers to provide quality equipment, training opportunities and trusted support within the access industry. We are a global company, and our products—including mobile elevating work platforms, telehandlers, utility vehicles and accessories—can be found all over the world.
JOB SUMMARY:
The Data Scientist responsibilities include working through the entire data science lifecycle with an emphasis on applying their data mining and predictive modeling expertise. Critical thinking and problem-solving skills are essential, along with a deep curiosity and passion for research. The role will include mentoring other members of the Advanced Analytics & Insights team. This role will be responsible for preparing and delivering the results of their analysis. The ultimate goal of this role will be to help the company utilize data and analytics to generate business value.",4.1,JLG,"Hagerstown, MD",10000+ Employees,1917,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),0,94 - 150 ,94,150,122.0, MD,104,0,1,0,0,data scientist,senior,1165
Senior R&D Scientist,$94K - $150K (Glassdoor est.),"LGC, Biosearch Technologies is looking for a highly analytical and collaborative Senior Scientist to the R&D team at our our Middleton, WI, site. The Senior Scientist will be responsible for developing novel NGS tools and methodologies. The Senior Scientist will work collaboratively with internal and external partners, design and execute experimental plans, communicate results to colleagues and customers, manage and mentor junior scientists and contribute to LGC’s mission of Science for a Safer World.

LGC, Biosearch Technologies is a leader in providing reagents and technologies in the area of Next Generation Sequencing (NGS) for customers in agbio, biotech, pharma and academia. The company develops and markets various enzymes, oligos, beads and instruments for whole genome sequencing, amplicon sequencing, single cell sequencing and genotyping. LGC is a global leader in providing genotyping services with multiple USA sites.",3.5,LGC Limited,"Middleton, WI",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,94 - 150 ,94,150,122.0, WI,179,0,0,0,0,not_specified,senior,938
Analytical Scientist,$94K - $150K (Glassdoor est.),"Position Overview:
Catalent hires people with a passion to make a difference to the health of millions of people globally. Your expertise, coupled with Catalent’s advanced technologies and collaboration with thousands of innovative pharmaceutical, biotech and healthcare companies, will help bring life-enhancing products to the people you know and love. Your talents , ideas and passion are essential to our mission; to develop, manufacture and supply products that help people live better, healthier lives. Interested in learning more about life at Catalent? Start here
Analytical Scientist
The Analytical Scientist reports to the Associate Director",3.5,Catalent Pharma Solutions,"Winchester, KY",10000+ Employees,2007,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),0,94 - 150 ,94,150,122.0, KY,14,0,0,0,0,not_specified,not_specified,651
Clinical Genetic Scientist,$94K - $150K (Glassdoor est.),"Experience and Qualifications:
· Familiarity with and experience in molecular genetics testing methodologies.
· Familiarity with databases, tools, and resources commonly used in interpretation of genomic data.
· Excellent attention to detail; strong problem solving and decision making skills.
· Ability to work on multiple assignments concurrently within established timeframes.
· Must pay great attention to detail and communicate effectively.",-1.0,SMA Medical Laboratory,"Feasterville Trevose, PA",-1,-1,-1,-1,-1,-1,0,94 - 150 ,94,150,122.0, PA,-1,0,1,0,0,not_specified,not_specified,445
Research Data Scientist,$94K - $150K (Glassdoor est.),"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.",3.7,Intelligent Automation,"Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),0,94 - 150 ,94,150,122.0, MD,34,0,1,0,0,data scientist,not_specified,855
Lead Data Scientist,$94K - $150K (Glassdoor est.),"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement. ManTech is seeking a motivated, career and customer-oriented data science and machine learning professionals to join our dynamic modeling team in Portsmouth, VA.
The Navy and Marine Corps Public Health Center (NMCPHC) is the Navy and Marine Corps center for public health (PH) services to maximize readiness through force health protection (FHP) strategies and solutions for current and potential PH threats. NMCPHC provides leadership and expertise to ensure mission readiness in support of the National Military Strategy.",4.2,ManTech International Corporation,"Portsmouth, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,94 - 150 ,94,150,122.0, VA,53,0,0,0,0,data scientist,senior,845
Data & Analytics Consultant,$94K - $150K (Glassdoor est.),"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.



Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
The ideal candidate will:
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:",4.6,SEI,"Cincinnati, OH",201 to 500 Employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),0,94 - 150 ,94,150,122.0, OH,29,0,0,0,0,not_specified,not_specified,2342
Data Scientist,$94K - $150K (Glassdoor est.),"Job Posting End Date: April 20
Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace.
Headquartered in Chattanooga, Tennessee, Unum also has significant US operations in Portland, Maine, - and over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US.
General Summary
This position for a developing data scientist who is excited to transform data into actionable insights and impact the business through his/her work. The role requires increasing technical expertise in the fields of computer programming, applied statistics and data manipulation; and relies on developing business knowledge. The individual will participate in project work primarily within the functional area, with direction and review by manager. The individual is expected to continuously increase business knowledge and take initiative in identifying and executing analytical approaches to support assigned projects.

Position will interface with actuaries on pricing, reserving, and risk.

Unum",3.8,Unum,"Portland, ME",5001 to 10000 Employees,1848,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,94 - 150 ,94,150,122.0, ME,173,0,1,0,1,data scientist,not_specified,1633
Supply Chain Data Analyst,$94K - $150K (Glassdoor est.),"Supply Chain Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.",3.6,Uline,"Pleasant Prairie, WI",5001 to 10000 Employees,1980,Company - Private,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,0,94 - 150 ,94,150,122.0, WI,41,0,1,0,0,analyst,not_specified,561
Quality and Food Safety Sr Scientist,$94K - $150K (Glassdoor est.),"OVERVIEW:
Provide technical quality support to Quality Assurance, Operations, and Product Development with an emphasis on continuous improvement, consumer/customer requirements, and continuous product quality. Act as the official back-up for the Plant Quality and Food Safety Manager. Support, implement, and maintain food safety practices as required through SQF. Responsible for completing job duties in a manner that supports all plant safety, food safety, quality, and environmental practices.
RESPONSIBILITIES AND ACCOUNTABILITIES:
Provide leadership for the plant’s compliance to the SQF standard as serve as plant SQF Practitioner. Practitioner will oversee the development, implementation, review, and maintenance of the SQF system.",3.5,Post Consumer Brands,"Northfield, MN",1001 to 5000 Employees,-1,Company - Public,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,0,94 - 150 ,94,150,122.0, MN,-1,0,1,0,0,not_specified,senior,740
SCIENTIST - BIOPHARMACEUTICALS,$94K - $150K (Glassdoor est.),"JOB DESCRIPTION
Company Overview

PPD is a leading global Contract Research Organization - currently operating in nearly 50 countries! At PPD we are passionate, deliberate, and driven by our purpose - to improve health. Our organization works with a diverse group of pharmaceutical companies to help bend the cost and time curve of small molecule, biologic, and vaccine product development.",4.0,PPD,"Middleton, WI",10000+ Employees,1985,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),0,94 - 150 ,94,150,122.0, WI,36,0,0,0,0,not_specified,not_specified,390
