Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$71K - $119K (Glassdoor est.),"Who Are We?
QinetiQ Inc. is a leading innovator with over 25 years of experience rapidly developing advanced C5ISR sensor solutions and is a renowned world leader in robotics and autonomy.
The combined QinetiQ U.S. business unit brings capabilities across the full lifecycle of technology development from applied research and development to rapid prototyping, testing, fielding, and sustainment. Our expertise with unmanned platforms, broad sensing modalities, and cross-domain interoperability ensures that we deliver integrated solutions for Warfighter dominance in all phases of combat.
We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms and systems, ground systems, soldier systems, maritime systems, airborne sensors and payloads, processing and exploitation capabilities, and integrated C2 solutions. Much of our work contributes to innovative research in ﬁelds such as sensor science, signal processing, data fusion, artiﬁcial intelligence (AI), machine learning (ML), and augmented reality (AR).",2.5,QinetiQ Inc.,"Lorton, VA",501 to 1000 Employees,1956,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
Staff Data Scientist,$72K - $121K (Glassdoor est.),"WHO WE ARE:
Voted one of the Top 100 Fastest Growing Companies in the Bay Area for 2020, Freedom Financial Network is a family of companies that takes a people-first approach to financial services, using technology to empower consumers to overcome debt and create a brighter financial future. The company was founded in 2002 by Brad Stroh and Andrew Housser on the belief that by staying committed to helping people, you can ensure better financial outcomes for both the customer and the business. This Heart/$ philosophy still guides the vision of our growing company, which has helped millions of people find solutions for their financial needs.
What began with 2 people in a spare bedroom has now rapidly expanded to a vibrant business that employs over 2000 employees (known internally as The Freedom Family) in two locations: San Mateo, CA and Tempe, AZ. When you visit either of our offices, you’ll understand why our employees have voted us the Best Place to Work for the last several years. It’s a place where the Heart/$ philosophy continues to thrive, where we believe that success is only achieved by doing what’s right for our customers, our employees, and our communities.
Some of the key responsibilities for the Analytic Scientist will include:",3.5,Freedom Financial Network,"Tempe, AZ",1001 to 5000 Employees,2002,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD)
Sr. Data Scientist,$83K - $138K (Glassdoor est.),"Sr. Data Scientist -INF0001YE
Description

Analytics Sr. Consultant – Sr. Data Scientist – R&D
Description
Headquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.",3.6,CNA Insurance,"Chicago, IL",1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Research Data Scientist,$72K - $120K (Glassdoor est.),"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.",3.7,Intelligent Automation,"Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD)
Staff Scientist II - Cell and Molecular Biology,$51K - $110K (Glassdoor est.),"PRIMARY FUNCTION:
Staff Scientist II will utilize their experience and knowledge to work with a cross-functional team of cell and molecular biologists within the Gene Editing Institute. The successful candidate is expected to carry out the assigned projects mostly independently. Primary responsibilities include but are not limited to developing and optimizing CRISPR technology for mammalian cell engineering in vivo and in vitro.
PRINCIPAL DUTIES AND RESPONSIBILITIES:
Successful candidates will have a background in molecular biology; including hands-on experience with clone construction, clonal amplification, and tissue culture is desirable. Previous working with AAV, lentiviral vectors, and CRISPR/Cas9 is a plus, but not mandated.",3.5,Christiana Care Health Systems,"Newark, DE",10000+ Employees,1970,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Research Scientist - Gene therapy,$42K - $93K (Glassdoor est.),"PRIMARY FUNCTION:
Non-small cell lung cancer (NSCLC) is the leading cause of cancer-related death worldwide and in the United States. There is a high unmet need for new treatment options to treat NSCLC due to the high rate of chemoresistance in NSCLC. Gene Editing Institute at Christiana Care Health System has identified a specific target to reduce the chemoresistance and is currently developing CRISPR gene therapy strategy to treat NSCLC. This platform protocol is also applicable to other cancers.
The Research Scientist will participate in all aspects of preclinical development work in new, targeted delivery system utilizing CRISPR gene therapy to treat NSCLC. The successful candidate will work on the design and evaluation of gene and cell delivery systems including adeno-associated virus, lentiviral vector, and lipid nano particles in experimental lung cancer models. The Research Scientist is also involved in the development of proof-of-concept and preclinical studies for other solid cancers, included but not limited to, lung cancer, brain cancer and melanoma, etc. The ideal candidate will have advanced expertise in adeno-associated virus biology and at least one area in lipid nano particle delivery, animal models in Non-small cell lung cancers, or CRISPR.",3.5,Christiana Care Health Systems,"Newark, DE",10000+ Employees,1970,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Data Engineer,$53K - $102K (Glassdoor est.),"We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
As a Data Engineer on the Alteryx Data Science team, you will be part of an innovative and groundbreaking team, being primarily responsible for engineering a world class enterprise data management platform and driving continuous improvement for a world class analytics company. You will work closely with data architects, other data engineers, data scientists, and line of business associates to build out new system features/functionality and help bring thoughtfully curated data system and products that the Alteryx organization can trust. Success in this role is critical to our commitment of becoming a world-class Data Science team and fostering Alteryx’s Data Science journey!",3.6,"Alteryx, Inc.","Ann Arbor, MI",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Staff Scientist II - Molecular Biology,$43K - $77K (Glassdoor est.),"PRIMARY FUNCTION:
Staff Scientist II will utilize their Molecular Biology experience and knowledge to work with a cross-functional team of cell and molecular biologists within the Gene Editing Institute. The successful candidate is expected to carry out the assigned projects mostly independently. Primary responsibilities include but are not limited to developing, optimizing, executing and analyzing in-silico, in-vitro and in-vivo CRISPR off-target assays for gene therapy products.
PRINCIPAL DUTIES AND RESPONSIBILITIES:
Design and optimize PCR reactions
Restriction digestion, conventional and seamless cloning",3.5,Christiana Care Health Systems,"Newark, DE",10000+ Employees,1970,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Data Analyst,-1,"Human IVF and infertility lab has a data analyst position open for an individual with strong analytical and technical skills.
This position will work with researchers, physicians, embryologists, and other staff in our Waltham location. No infertility experience is required and the individual will be trained on all aspects of human IVF. The successful candidate will be detail-oriented, proficient in Microsoft Office (Excel, Word) and have experience working with relational databases.
Requirements include but are not limited to:
Must be proficient in Microsoft Office – this includes but is not limited to Word, Excel, PowerPoint",2.9,Boston IVF,"Waltham, MA",201 to 500 Employees,1986,Company - Private,Research & Development,Business Services,$25 to $50 million (USD)
Senior R&D Scientist,$55K - $92K (Glassdoor est.),"LGC, Biosearch Technologies is looking for a highly analytical and collaborative Senior Scientist to the R&D team at our our Middleton, WI, site. The Senior Scientist will be responsible for developing novel NGS tools and methodologies. The Senior Scientist will work collaboratively with internal and external partners, design and execute experimental plans, communicate results to colleagues and customers, manage and mentor junior scientists and contribute to LGC’s mission of Science for a Safer World.

LGC, Biosearch Technologies is a leader in providing reagents and technologies in the area of Next Generation Sequencing (NGS) for customers in agbio, biotech, pharma and academia. The company develops and markets various enzymes, oligos, beads and instruments for whole genome sequencing, amplicon sequencing, single cell sequencing and genotyping. LGC is a global leader in providing genotyping services with multiple USA sites.",3.5,LGC Limited,"Middleton, WI",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Analyst,$33K - $57K (Glassdoor est.),"Job Details
Description
MetroNet has an immediate opening for an energetic; Data Analyst in Evansville, IN!

At MetroNet, we pride ourselves on providing cutting-edge technology combined with outstanding customer care. We are a fast-growing telecommunication company, offering 100% fiber-optic technology. MetroNet specializes in fiber to the premise TV, voice and internet services that provide our customers with some of the fastest internet speeds in the world. Recognized for being one of the Best Places to Work in 2020 by Glassdoor. We are committed to revolutionizing the industry by enhancing the overall customer experience and optimizing the talent of our valued associates.",4.5,MetroNet,"Evansville, IN",1001 to 5000 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable
SCIENTIST - BIOPHARMACEUTICALS,$33K - $63K (Glassdoor est.),"JOB DESCRIPTION
Company Overview

PPD is a leading global Contract Research Organization - currently operating in nearly 50 countries! At PPD we are passionate, deliberate, and driven by our purpose - to improve health. Our organization works with a diverse group of pharmaceutical companies to help bend the cost and time curve of small molecule, biologic, and vaccine product development.",4.0,PPD,"Middleton, WI",10000+ Employees,1985,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
"Associate Scientist, R",$35K - $81K (Glassdoor est.),"Position Summary: Seeking a highly motivated individual for employment in our Research and Development group located in Petaluma, CA. This position requires an individual with strong problem solving skills, good laboratory technique, and the ability to execute complex experiments. The successful candidate will have a desire to learn and the strong attention to detail. This position will entail the synthetic chemistry of a range of compounds including developing new reagents for the synthesis, modification and capture of oligonucleotides. Additional tasks may include running automated oligonucleotide synthesizers as well as molecular biology laboratory work to support new product development.
Areas of Responsibility:
This position requires a driven individual to work closely with members of the research and development group to assist in the preparation and evaluation of novel solid supports, phosphoramidites, fluorescent dyes and/or linkers to enable new approaches to biology research. This is a hands-on research position.",3.5,LGC Limited,"Petaluma, CA",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Bioprocessing Scientist I,$37K - $82K (Glassdoor est.),"Bioprocessing Scientist I
Bioprocessing Scientist I
LGC’s Clinical Diagnostics Division develops and manufactures a comprehensive portfolio of catalog and custom-developed diagnostic quality solutions and component materials for the extended life sciences industry. We partner with IVD assay developers, and pharmaceutical, CRO and academic institutions in commercialization activities across the entire diagnostic pipeline - from concept and early stage research, through expedited product development and onwards into routine clinical use. Laboratorians and diagnostic professionals across disciplines of clinical chemistry, immunochemistry, serology, molecular diagnostics and clinical genomics rely on LGC’s products to support accurate and reliable diagnostic results.
Our operating entities include SeraCare Life Sciences and Maine Standards Company, which are in vitro diagnostics (IVD) manufacturers of quality measurement tools (calibrators, controls, linearity, EQA/PT, biological materials) and the Native Antigen Company, which is a manufacturer and supplier of viral antigens. Our 300+ employees operate FDA-registered and ISO 13485-accredited facilities in Maine, Massachusetts and Maryland, USA, and an ISO 9001-accredited facility in Oxford, UK.",2.7,SeraCare Life Sciences,"Cumberland Foreside, ME",51 to 200 Employees,1989,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
Sr. Data Scientist-Precision Medicine,$95K - $154K (Glassdoor est.),"Sr. Data Scientist-Precision Medicine
Requisition #: 333944
Location: Johns Hopkins Health System, Baltimore, MD 21201
Category: Information Technology
Work Shift: Day Shift
Work Week: Full Time (40 or 36 hours)
Weekend Work Required: No
Date Posted: March 23, 2021
Sr Data Scientist - Precision Medicine
Requisition ID 333944
Work Location: This position will be remote and have the option to transition to Johns Hopkins locations around Baltimore, MD",3.9,Johns Hopkins Health System,"Baltimore, MD",1001 to 5000 Employees,1889,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
GC Scientist,$44K - $100K (Glassdoor est.),"LGC's CMC Analytical Services department provides characterization and analytical services to the NAT GMP group, an oligonucleotide therapeutic lab. We are looking for an enthusiastic and hard-working candidate to join our team of scientists to support the intake and release of raw materials used in manufacture and API release testing according to ICH Q3C. We have an extensive, ever-evolving client base and impressive technical capabilities with state-of-the-art equipment in a GMP facility. As our inventory expands our need for organization increases, leading to establishing a permanent position focused on sample preparation and chromatographic analysis for Raw Materials, API and Drug Product samples.
The GC Scientist brings a senior level of experience and is open to both learning more and sharing knowledge with others. Responsible for setting up instrument sequences, monitoring analysis and data and performing instrument troubleshooting, maintenance and reporting of results for on-time delivery to internal and external stakeholders. Oversees method development and improvements while driving continuous improvement via analytical development. Maintains appropriate quality control processes and procedures to determine accuracy and precision of analysis. Familiar with GMP guidelines 21 CFR Part 210/211 and ICHQ7. Performs work under the supervision of the CMC Management, but relies on experience to organize day-day work, priorities while supporting fast-turnaround investigations.",3.5,LGC Limited,"Petaluma, CA",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Visualization Scientist,$79K - $136K (Glassdoor est.),"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?Do you value working in a creative and collaborative environment?If so, we are looking for someone like you to join our team!The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to: Represent data and help our U.S. government partners easily understand their data.
Uncover trends, changes, patterns, and anomalies in voluminous data sets.
Embed in reports and presentations that are used to clearly communicate our data stories and analytic results.
We are seeking data scientists who can apply data visualization standards, research new data visualization approaches, and employ various data visualization technologies and techniques. Your contributions to our team of data scientists, engineers, mathematicians, and computer scientists will help transform data into the knowledge that will enable decision-makers to make informed choices in defense of the nation. You will join a hardworking team in an inclusive environment that values intellectual curiosity, innovation and creativity.As a Data Visualization Scientist you will...


Why work at APL?The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",4.7,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Data Analyst,$41K - $74K (Glassdoor est.),"The Data Analyst will provide support to the Human Resource department and compliance by obtaining and using clinical data from multiple sources to support quality initiatives through analysis of data and preparation of reports
Qualifications: The Data Analyst must have a high school diploma (Associate or Bachelor's Degree preferred), previous related experience and /or training; or equivalent combination of education and experience. Further job requirements:
· Microsoft Excel super user possessing the ability to produce spreadsheets, graphs, pivot tables and charts
· Must be familiar with Microsoft Word and PowerPoint
· Strong Analytical skills, strong personal computer skills",3.1,Theradynamics,"Syosset, NY",501 to 1000 Employees,1999,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD)
Senior Scientist (ADME-PK),-1,"How will you make an impact?
The Senior Scientist, ADME-PK, located in San Clemente, CA will work in Translational Sciences within the Applied Research department working on the Pharmacokinetic evaluations of novel or reformulated chemical and biological entities compatible with the company’s drug delivery device technologies. This individual will be responsible for the development and execution of the pharmacokinetic and PK/PD studies supporting the overall development plan for the pharmaceutical combination projects.
The successful candidate will be expected to provide expertise in PK and PK/PD study design, protocol development and execution, data analysis, modeling, interpretation and reporting. He/she will apply various approaches and strategies to predict human PK parameters from analysis of nonclinical data and assess PK/PD properties of drug candidates based on preclinical data. He/she will author clinical and nonclinical PK sections for regulatory submissions and clinical investigator brochures. He/She will work independently while also collaborating within the Translational Sciences group and across functional groups, matrix teams. He/she will serve a subject matter expert at matrix teams and influence development strategy based on scientific data.",3.9,Glaukos Corporation,United States,501 to 1000 Employees,1998,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Senior Scientist (ADME-PK),$61K - $110K (Glassdoor est.),"How will you make an impact?
The Senior Scientist, ADME-PK, located in San Clemente, CA will work in Translational Sciences within the Applied Research department working on the Pharmacokinetic evaluations of novel or reformulated chemical and biological entities compatible with the company’s drug delivery device technologies. This individual will be responsible for the development and execution of the pharmacokinetic and PK/PD studies supporting the overall development plan for the pharmaceutical combination projects.
The successful candidate will be expected to provide expertise in PK and PK/PD study design, protocol development and execution, data analysis, modeling, interpretation and reporting. He/she will apply various approaches and strategies to predict human PK parameters from analysis of nonclinical data and assess PK/PD properties of drug candidates based on preclinical data. He/she will author clinical and nonclinical PK sections for regulatory submissions and clinical investigator brochures. He/She will work independently while also collaborating within the Translational Sciences group and across functional groups, matrix teams. He/she will serve a subject matter expert at matrix teams and influence development strategy based on scientific data.",3.5,Glaukos Corporation,United States,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
"Data Scientist, Medical Diagnostics",$109K - $175K (Glassdoor est.),"The Company
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.
Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection.",3.5,Specific Diagnostics,"Mountain View, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Sr Data Scientist - Machine Learning,$109K - $175K (Glassdoor est.),"Overview:
We are expanding our efforts into complementary data technologies for decision support in areas that capitalize on intelligent applications enabled with computational learning. Our interests are in enabling intelligent applications and corresponding computation learning processing on large and low latent data sets with elastic cloud architecture techniques on premise. To that end, this role will engage with team counterparts in exploring and deploying technologies for engineering features and creating algorithms that result in models incorporated into intelligent applications. Application use cases are expected to focus on core aspects of our business such as risk management and customer experience. Responsibility also includes coding, testing, and documentation of new or modified scalable analytic data systems including automation for deployment and monitoring. This role participates along with team counterparts to architect an end-to-end framework developed on a group of core data technologies. Other aspects of the role include developing standards and processes for computational learning projects and initiatives.
Responsibilities:
Qualifications:",3.5,GM Financial,"Arlington, TX",5001 to 10000 Employees,1992,Company - Public,Lending,Finance,$5 to $10 billion (USD)
Data Scientist Principal,$109K - $175K (Glassdoor est.),"About JLG, an Oshkosh company
JLG began in 1969, when our founder, John L. Grove set out to resolve growing safety concerns in the construction industry. Since then we have been committed to understanding the challenges and delivering innovative solutions to the access market. We partner with customers to provide quality equipment, training opportunities and trusted support within the access industry. We are a global company, and our products—including mobile elevating work platforms, telehandlers, utility vehicles and accessories—can be found all over the world.
JOB SUMMARY:
The Data Scientist responsibilities include working through the entire data science lifecycle with an emphasis on applying their data mining and predictive modeling expertise. Critical thinking and problem-solving skills are essential, along with a deep curiosity and passion for research. The role will include mentoring other members of the Advanced Analytics & Insights team. This role will be responsible for preparing and delivering the results of their analysis. The ultimate goal of this role will be to help the company utilize data and analytics to generate business value.",4.1,JLG,"Hagerstown, MD",10000+ Employees,1917,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD)
"Scientist III, Analytical Development",$109K - $175K (Glassdoor est.),"DESCRIPTION
The scientist III will be responsible for analytical method development and transfer under minimal supervision.
JOB DESCRIPTION
The role of the Scientist III, Analytical Development is to serve in an advanced technical role in the Analytical and Process Development laboratories. The key responsibilities of this role will be to develop, transfer, optimize and qualify/validate test methods for client projects. The Scientist III will be required to have advanced, practical experience with multiple analytical methods in a cGMP environment. These assays include, but are not limited to, cell-based assays (potency, activity), viral titration methods (plaque assay, TCID50), ddPCR, qPCR, HPLC, ELISA, FACS, as well as mammalian tissue culture.",-1,Matica Biotechnology,"College Station, TX",-1,-1,-1,-1,-1,-1
