Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Associate Scientist (Production & Purification),-1,"Job Summary:
The position plays a critical role in antibody development and supports the Production Department. Important aspects of this role include excellent organizational, multi-tasking, leadership and communication skills, and the ability to thrive in an efficient, highly interactive, and goal-oriented team environment. In addition to laboratory skills, strong project planning and management skills will be developed in this position.
Duties and Responsibilities will include:
Purify antibodies to support in-house and custom projects
Perform laboratory experiments independently or with other team members, including column production, affinity chromatography, and product handling",-1,"Rockland Immunochemicals, Inc.","Limerick, PA",-1,-1,-1,-1,-1,-1
Research Scientist II,-1,"Contact: Matt Azarva
Phone: 215.830.9202
Position Overview
The Research Scientist II will participate in and lead scientific projects and programs, including research and public health surveillance activities conducted within the Department of Population Medicine (DPM), in close collaboration with a DPM Faculty investigator and external investigators. He/she will supervise the work of scientific and project staff, including programmers and/or analysts, project managers/coordinators, and other staff. The Research Scientist II will provide epidemiological and/or biostatistical expertise to develop strategies for study implementation and analyses. He/she will serve as a lead author of protocols, reports, and manuscripts and may mentor junior scientific staff.

If interested, please send a MS Word version of your resume to mazarva@kleinhersh.com

Submit Your Résumé",-1,Klein Hersh International,Massachusetts,-1,-1,-1,-1,-1,-1
Scientist – Discovery,-1,"Scientist – Discovery
JOB DESCRIPTION:
We are seeking a talented and highly-motivated Scientist to join our collaborative discovery team to support small-molecule hit discovery using BlueLight Therapeutics’s proprietary technology for measuring protein structural changes. As a part of the team, they will play a central role in the design and execution of small-molecule screening assays to drug novel therapeutic targets. To join the dynamic, fast-paced, and venture-funded biotech team, the successful candidate will have a strong background in biochemistry or biophysics with prior experience in protein expression and purification. The ideal candidate will be self-driven, resourceful, organized, and enjoy working in a dynamic team environment.
KEY RESPONSIBILITIES:",-1,"BlueLight Therapeutics, Inc.","Mountain View, CA",-1,-1,-1,-1,-1,-1
Staff Data Scientist,$101K - $161K (Glassdoor est.),"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.",3.6,"Alteryx, Inc.","Boston, MA",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
"Data Scientist, Medical Diagnostics",-1,"The Company
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.
Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection.",3.5,Specific Diagnostics,"Mountain View, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Master Data Analyst,-1,"Position Summary:
Under general supervision, the Master Data Analyst will have the primary responsibility for ensuring that master data is maintained by entering, updating, and maintaining master data, as well as having a full understanding of the impact of this data across the value chain. This role will also support inter-company customer orders, ensuring that orders are accurate and scheduled accordingly. This position will be focused on ensuring customer satisfaction (measured by OTIF – on time in full), communicating with other sites regarding product schedules, as well as maximizing freight efficiency by building full truckloads.

Essential Functions & Key Responsibilities:",3.2,"Novolex Holdings, LLC","Covington, KY",10000+ Employees,2004,Company - Private,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable
Machine Learning Engineer,-1,"Intro (Use Font Arial 12):
As a Machine Learning Engineer, you will be a part of the team responsible for making it easy to deploy, manage, and monitor machine learning models at scale in production. You will join a team that developes the infrastructure to facilitate model orchestration. Collaborate with both data scientists and platform engineers to create intuitive and resilient solutions. You will also be expected to follow the best practices of Agile software development, including high coding quality with testing coverage, and continuous integration and deployment of your solutions.
What You'll Be Doing:

Design and build scalable machine learning infrastructure for model management, continuous training and deployment, and serving predictions.
Support the operation services and set up monitoring, to keep our services at the highest level of service agreement.
Location and Travel Details:
Profile of Success:
About AIS:







EEO Statement:",4.4,Applied Information Sciences,"Reston, VA",501 to 1000 Employees,1982,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Business Intelligence Data Engineer,-1,"Welcome to Foresight Mental Health! We are a mental healthcare startup working to reinvent the mental healthcare space through the use of technology and data. Our approach to care is deeply holistic — our clinical team consists of psychiatrists, psychiatric NPs, neuropsychologists, therapists, and nutritionists. We function as a network of in-person outpatient services fused with remote telehealth offerings. We credential all of our providers with insurance panels in order to increase access and affordability to Foresight services.
Foresight is working to make mental healthcare data-driven, personalized, and technologically advanced. By leveraging our current technology stack (including genetic tests, next-generation clinical decision support software and analytics framework, wearables, and electronic patient outcome monitoring) combined with breakthrough treatments (like transcranial magnetic stimulation and Spravato), this enables us to deliver highly personalized, data-backed treatment plans to each of our members.",4.5,Foresight Mental Health,"Austin, TX",201 to 500 Employees,2018,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Principal Scientist,-1,"Company Description
Personalized immunotherapies are the future of the fight against cancer, and IsoPlexis (www.isoplexis.com) is Making the Difference in enabling the lofty goal of employing immunotherapies to combat our toughest diseases. Our integrated systems, named #1 Innovation by Scientist Magazine & World-Leading Design by Red Dot, are changing cancer research by connecting biological readouts to what is actually happening in patients. Our game changing hardware technologies, originally from Cal Tech and Yale, combined with our next generation software and data visualizations, are powered by our amazing R&D team and used throughout the world. We work with a growing list of leading researchers who are publishing findings that connect our readouts to what is truly happening in patients, and that excites & drives all of us to do more! If you like working at the intersection of biological sciences and healthcare, and you enjoy intellectually challenging yet fulfilling projects, give us a call. Our fast growing, 125+ person team has a sense of integrity, energy, and urgency to ‘make things happen’ in our collective careers and in the broader world, and we look forward to talking.",3.7,IsoPlexis,"Branford, CT",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Staff Data Scientist,$72K - $121K (Glassdoor est.),"WHO WE ARE:
Voted one of the Top 100 Fastest Growing Companies in the Bay Area for 2020, Freedom Financial Network is a family of companies that takes a people-first approach to financial services, using technology to empower consumers to overcome debt and create a brighter financial future. The company was founded in 2002 by Brad Stroh and Andrew Housser on the belief that by staying committed to helping people, you can ensure better financial outcomes for both the customer and the business. This Heart/$ philosophy still guides the vision of our growing company, which has helped millions of people find solutions for their financial needs.
What began with 2 people in a spare bedroom has now rapidly expanded to a vibrant business that employs over 2000 employees (known internally as The Freedom Family) in two locations: San Mateo, CA and Tempe, AZ. When you visit either of our offices, you’ll understand why our employees have voted us the Best Place to Work for the last several years. It’s a place where the Heart/$ philosophy continues to thrive, where we believe that success is only achieved by doing what’s right for our customers, our employees, and our communities.
Some of the key responsibilities for the Analytic Scientist will include:",3.5,Freedom Financial Network,"Tempe, AZ",1001 to 5000 Employees,2002,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD)
Statistician or Data Scientist,$65K - $105K (Glassdoor est.),"Statistician
Full-time, Benefits available
Employer: Nature Source Improved Plants, LLC. (http://nsiplants.com/)
Location: Ithaca, NY
The NSIP Genetics Division (Ithaca, NY) is recruiting for a Ph.D-level Statistician or Data Scientist. This position will work closely with NSIP’s cross-functional team of statisticians, mathematicians, operations research engineers, computer scientists, geneticists, plant breeders, and software engineers to help implement computational and genomics-based plant breeding solutions. The successful candidate will be responsible for contributing to NSIP’s inferential and predictive breeding framework, and to the solution of cutting-edge problems relevant to breeding and propagation. This position will have the opportunity to work with a diverse group of scientists dedicated to developing and implementing plant breeding and production technologies across agricultural sectors.",-1,Nature Source Improved Plants,"Ithaca, NY",-1,-1,-1,-1,-1,-1
Senior Data Scientist,-1,"Overview
Alliant is seeking a Senior Data Scientist to join its Data Science team to build predictive machine learning models and perform customer segmentation. The ideal candidate will be data-curious and willing to participate with a team driven to provide direct and digital marketing clients with innovative, profit-building solutions. The successful candidate will have a wide-range of experience building machine learning models and presenting the results to marketing teams and senior management. Additionally, candidates should be highly experienced with Python, SAS, large-scale databases, web analytics and data manipulation. This position will report to the Vice President of Data Science and become a key contributor to a skilled predictive modeling and analytics team.",3.6,Alliant Cooperative Data Solutions,"Brewster, NY",1 to 50 Employees,2003,Company - Private,Advertising & Marketing,Business Services,$5 to $10 million (USD)
Bioprocessing Scientist I,$37K - $82K (Glassdoor est.),"Bioprocessing Scientist I
Bioprocessing Scientist I
LGC’s Clinical Diagnostics Division develops and manufactures a comprehensive portfolio of catalog and custom-developed diagnostic quality solutions and component materials for the extended life sciences industry. We partner with IVD assay developers, and pharmaceutical, CRO and academic institutions in commercialization activities across the entire diagnostic pipeline - from concept and early stage research, through expedited product development and onwards into routine clinical use. Laboratorians and diagnostic professionals across disciplines of clinical chemistry, immunochemistry, serology, molecular diagnostics and clinical genomics rely on LGC’s products to support accurate and reliable diagnostic results.
Our operating entities include SeraCare Life Sciences and Maine Standards Company, which are in vitro diagnostics (IVD) manufacturers of quality measurement tools (calibrators, controls, linearity, EQA/PT, biological materials) and the Native Antigen Company, which is a manufacturer and supplier of viral antigens. Our 300+ employees operate FDA-registered and ISO 13485-accredited facilities in Maine, Massachusetts and Maryland, USA, and an ISO 9001-accredited facility in Oxford, UK.",2.7,SeraCare Life Sciences,"Cumberland Foreside, ME",51 to 200 Employees,1989,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
Data Visualization Scientist,$79K - $136K (Glassdoor est.),"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?Do you value working in a creative and collaborative environment?If so, we are looking for someone like you to join our team!The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to: Represent data and help our U.S. government partners easily understand their data.
Uncover trends, changes, patterns, and anomalies in voluminous data sets.
Embed in reports and presentations that are used to clearly communicate our data stories and analytic results.
We are seeking data scientists who can apply data visualization standards, research new data visualization approaches, and employ various data visualization technologies and techniques. Your contributions to our team of data scientists, engineers, mathematicians, and computer scientists will help transform data into the knowledge that will enable decision-makers to make informed choices in defense of the nation. You will join a hardworking team in an inclusive environment that values intellectual curiosity, innovation and creativity.As a Data Visualization Scientist you will...


Why work at APL?The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",4.7,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Senior Data Scientist,$94K - $150K (Glassdoor est.),"Here at ShipStation, part of Auctane, we're passionate about helping online businesses become more productive. We save thousands of merchants hours every day by automating the fulfillment side of their business. We partner with top eCommerce and shipping companies to make a previously complicated and labor-intensive process simple and enjoyable.

As a Senior Data Scientist, you will solve challenging logistics and optimization problems to make our customers more successful. You will analyze large amounts of data from a variety of sources, discover and solve real world problems, and develop metrics and business cases that will enable us to continually delight ShipStation customers. The ideal candidate will be a self-starter, highly analytical, and intensely detailed with a strong customer focus.

Responsibilities:
:


If you are based in California, we encourage you to read this important information about the for California residents linked here.

#LI-JF1",3.7,Stamps.com,"Austin, TX",1001 to 5000 Employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Senior Data Scientist,$94K - $150K (Glassdoor est.),"Job Posting End Date: April 20
Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace.
Headquartered in Chattanooga, Tennessee, Unum also has significant US operations in Portland, Maine, - and over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US.
General Summary
This position for an experienced data scientist who is excited to transform data into actionable insights and solutions, and drive the business forward. The role requires significant technical expertise including programming, statistical proficiency and advanced data manipulation skills. This individual will continuously increase business knowledge with a consultant mindset approach and focus on identifying opportunities to improve our business outcomes. This individual will take initiative in designing and implementing data science solutions for supporting business priorities. Considerable reliance will be placed on the individual’s judgment and ability to interact with business partners with a high degree of professionalism. This person will work directly with Actuaries in the areas of pricing, reserving and risk.

Unum",3.8,Unum,"Portland, ME",5001 to 10000 Employees,1848,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Research Scientist,$94K - $150K (Glassdoor est.),"Job Description:
Our Reston office is seeking talented candidates to develop mathematical models and algorithms, develop and demonstrate prototype software, and participate in operational analysis related to their technical work. Our Reston office employs mathematicians, physicists and computer scientists. We routinely apply stochastic processes, statistical inference, optimization and scheduling, models of random graphs and applied physics to develop the underlying theory and applications for our clients. The successful candidate will interact with customers, gather requirements and data, write and present briefings, and contribute to the development of Metron tools.

Projects typically involve developing advanced algorithms implemented in a computer prototype system for our research & development customers. We work in small teams, led by Senior Scientists, who work closely with new employees. Project teams work together from the initial system concept, through software and algorithm design, to implementation and demonstration.
Desired Qualifications:",3.4,"Metron, Inc.","Reston, VA",201 to 500 Employees,1982,Company - Private,Research & Development,Business Services,$50 to $100 million (USD)
Data Scientist Principal,$94K - $150K (Glassdoor est.),"About JLG, an Oshkosh company
JLG began in 1969, when our founder, John L. Grove set out to resolve growing safety concerns in the construction industry. Since then we have been committed to understanding the challenges and delivering innovative solutions to the access market. We partner with customers to provide quality equipment, training opportunities and trusted support within the access industry. We are a global company, and our products—including mobile elevating work platforms, telehandlers, utility vehicles and accessories—can be found all over the world.
JOB SUMMARY:
The Data Scientist responsibilities include working through the entire data science lifecycle with an emphasis on applying their data mining and predictive modeling expertise. Critical thinking and problem-solving skills are essential, along with a deep curiosity and passion for research. The role will include mentoring other members of the Advanced Analytics & Insights team. This role will be responsible for preparing and delivering the results of their analysis. The ultimate goal of this role will be to help the company utilize data and analytics to generate business value.",4.1,JLG,"Hagerstown, MD",10000+ Employees,1917,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD)
Senior R&D Scientist,$94K - $150K (Glassdoor est.),"LGC, Biosearch Technologies is looking for a highly analytical and collaborative Senior Scientist to the R&D team at our our Middleton, WI, site. The Senior Scientist will be responsible for developing novel NGS tools and methodologies. The Senior Scientist will work collaboratively with internal and external partners, design and execute experimental plans, communicate results to colleagues and customers, manage and mentor junior scientists and contribute to LGC’s mission of Science for a Safer World.

LGC, Biosearch Technologies is a leader in providing reagents and technologies in the area of Next Generation Sequencing (NGS) for customers in agbio, biotech, pharma and academia. The company develops and markets various enzymes, oligos, beads and instruments for whole genome sequencing, amplicon sequencing, single cell sequencing and genotyping. LGC is a global leader in providing genotyping services with multiple USA sites.",3.5,LGC Limited,"Middleton, WI",1001 to 5000 Employees,1842,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Analytical Scientist,$94K - $150K (Glassdoor est.),"Position Overview:
Catalent hires people with a passion to make a difference to the health of millions of people globally. Your expertise, coupled with Catalent’s advanced technologies and collaboration with thousands of innovative pharmaceutical, biotech and healthcare companies, will help bring life-enhancing products to the people you know and love. Your talents , ideas and passion are essential to our mission; to develop, manufacture and supply products that help people live better, healthier lives. Interested in learning more about life at Catalent? Start here
Analytical Scientist
The Analytical Scientist reports to the Associate Director",3.5,Catalent Pharma Solutions,"Winchester, KY",10000+ Employees,2007,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Clinical Genetic Scientist,$94K - $150K (Glassdoor est.),"Experience and Qualifications:
· Familiarity with and experience in molecular genetics testing methodologies.
· Familiarity with databases, tools, and resources commonly used in interpretation of genomic data.
· Excellent attention to detail; strong problem solving and decision making skills.
· Ability to work on multiple assignments concurrently within established timeframes.
· Must pay great attention to detail and communicate effectively.",-1,SMA Medical Laboratory,"Feasterville Trevose, PA",-1,-1,-1,-1,-1,-1
